timestamp,PKLT_CD,PKLT_NM,liveCnt,remainCnt
2025-12-28 00:17:11,171721,세종로 공영주차장(시),147,1113
2025-12-28 00:17:11,171730,종묘주차장 공영주차장(시),429,888
2025-12-28 00:17:11,171900,훈련원공원 공영주차장(시),245,628
2025-12-28 00:17:11,172051,한강진역 공영주차장(시),26,148
2025-12-28 00:17:11,172065,용산주차빌딩 공영주차장(시),124,437
2025-12-28 00:17:11,172382,봉화산역(남) 공영주차장(시),0,85
2025-12-28 00:17:11,172605,우이동 공영주차장(시),0,82
2025-12-28 00:17:11,172844,마포유수지(시),177,326
2025-12-28 00:17:11,172935,웃우물 공영주차장(시),54,25
2025-12-28 00:17:11,172937,목동체비지 공영주차장(시),19,36
2025-12-28 00:17:11,172970,방화역(서) 공영주차장(시),56,13
2025-12-28 00:17:11,172971,방화역(동) 공영주차장(시),1995,0
2025-12-28 00:17:11,172979,개화산역 공영주차장(시),217,104
2025-12-28 00:17:11,173005,가양3동 공영주차장(시),163,0
2025-12-28 00:17:11,173047,가양역 공영주차장(시),47,32
2025-12-28 00:17:11,173424,일원역 공영주차장(시),30,37
2025-12-28 00:17:11,173452,사당노외 공영주차장(시),94,89
2025-12-28 00:17:11,173553,수서역북 공영주차장(시),189,372
2025-12-28 00:17:11,173646,신천유수지 공영주차장(시),34,158
2025-12-28 00:17:11,173752,복정역 공영주차장(시),38,324
2025-12-28 00:17:11,173828,남산한옥마을 공영주차장(시),2,14
2025-12-28 00:17:11,173831,도봉산 공영주차장(시),31,111
2025-12-28 00:17:11,173840,볕우물 공영주차장(시),93,3
2025-12-28 00:17:11,173867,천호역 공영주차장(시),626,805
2025-12-28 00:17:11,881056,목동노외 공영주차장(시),0,48
2025-12-28 00:17:11,1037932,구로디지털단지역 공영주차장(시),46,45
2025-12-28 00:17:11,1040225,논현로22길(시),37,60
2025-12-28 00:17:11,1051043,구파발역 공영주차장(시),271,128
2025-12-28 00:17:11,1163833,봉천복개3 공영주차장(시),31,0
2025-12-28 00:17:11,1167546,독산동 금천교 공영주차장(시),15,0
2025-12-28 00:17:11,1208601,청계2(북2) 공영주차장(시),4,0
2025-12-28 00:17:11,1210657,청계3(북1) 공영주차장(시),10,0
2025-12-28 00:17:11,1234305,가마산고가밑 공영주차장(시),18,0
2025-12-28 00:17:11,1235522,청계3(남) 공영주차장(시),0,1
2025-12-28 00:17:11,1235665,청계6(청평화) 공영주차장(시),3,0
2025-12-28 00:17:11,1236612,남대문 화물 공영주차장(시),0,1
